sku,instanceType,vcpu,memory,storage,operatingSystem,marketoption,regionCode
N/A,i3en.3xlarge,12,96 GiB,1 x 7500 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,x2iedn.metal,128,4096 GiB,2 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6id.4xlarge,16,64 GiB,1 x 950 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m7i-flex.16xlarge,64,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6i.large,2,4 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7i.2xlarge,8,32 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m6id.24xlarge,96,384 GiB,4 x 1425 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r7i.16xlarge,64,512 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6g.metal,64,512 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r6id.metal,128,1024 GiB,4 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6id.32xlarge,128,1024 GiB,4 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r7i.2xlarge,8,64 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6i.24xlarge,96,384 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6in.2xlarge,8,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,x2iedn.2xlarge,8,256 GiB,1 x 237 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c7i-flex.8xlarge,32,64 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6i.16xlarge,64,128 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c7i-flex.large,2,4 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6i.16xlarge,64,256 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c7i.2xlarge,8,16 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6i.metal,128,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c7g.large,2,4 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,i4i.16xlarge,64,512 GiB,4 x 3750 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c6i.32xlarge,128,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,g6.12xlarge,48,192 GiB,4 X 940 GB NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,r6g.medium,1,8 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7i.8xlarge,32,128 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r7gd.medium,1,8 GiB,1 x 59 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6i.metal,128,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,i3en.3xlarge,12,96 GiB,1 x 7500 NVMe SSD,Linux,OnDemand,ap-southeast-5
